time (d/10);time (d);;Parent (umol/kg);;;;BTP (umol/kg);;;;SUM (umol/kg);;
0;0;;0;0;0;;0;0;0;;0;0;0
0.028848485;0.288484848;;3.872700904;4.280061346;3.18133032;;0.29286147;0.427635512;0.205029593;;4.165562375;4.606860532;3.448018992
0.05769697;0.576969697;;4.47890018;4.833487918;3.949586543;;0.716473228;1.013466759;0.513746918;;5.195373409;5.626642022;4.65978876
0.086545455;0.865454545;;4.568383711;4.918242109;4.063775677;;1.079091562;1.474216715;0.793962389;;5.647475273;6.126463583;5.054961549
0.115393939;1.153939394;;4.575879527;4.928499258;4.080003806;;1.36792756;1.80666928;1.032416003;;5.943807087;6.455307778;5.32221977
0.144242424;1.442424242;;4.570609707;4.923476041;4.077634893;;1.594685035;2.041692384;1.232971362;;6.165294742;6.69602269;5.528152857
0.173090909;1.730909091;;4.562641047;4.91546648;4.071882845;;1.772096523;2.20671405;1.401214375;;6.334737569;6.875534745;5.690223098
0.201939394;2.019393939;;4.553754832;4.905296955;4.064066269;;1.910596201;2.322097983;1.541056781;;6.464351033;7.009050776;5.816928245
0.230787879;2.307878788;;4.528699853;4.880669729;4.043038841;;2.017577837;2.409621355;1.654272433;;6.54627769;7.090355097;5.902133461
0.259636364;2.596363636;;4.493491663;4.840906138;4.011826068;;2.097864941;2.493159462;1.746192589;;6.591356605;7.129727547;5.953672689
0.288484848;2.884848485;;4.456063247;4.800563409;3.977779617;;2.156727632;2.559694646;1.819991971;;6.612790879;7.143718552;5.983483069
0.317333333;3.173333333;;4.417877507;4.759914483;3.944304621;;2.19869332;2.60624847;1.878539757;;6.616570828;7.140618319;5.996674289
0.346181818;3.461818182;;4.379967585;4.718930547;3.910370279;;2.227323616;2.637221728;1.910200015;;6.607291201;7.124773336;5.987855641
0.375030303;3.75030303;;4.342405836;4.678016075;3.876590857;;2.245472278;2.656058709;1.922965143;;6.587878114;7.098146408;5.968681997
0.403878788;4.038787879;;4.303105112;4.636228105;3.84143757;;2.255435247;2.665665806;1.929057326;;6.55854036;7.06252645;5.940934146
0.432727273;4.327272727;;4.255409589;4.583927053;3.799045289;;2.258428651;2.6669554;1.929339289;;6.51383824;7.00909934;5.900575054
0.461575758;4.615757576;;4.199361981;4.524531232;3.74976731;;2.254701338;2.660649376;1.924339511;;6.454063319;6.942896899;5.844426183
0.490424242;4.904242424;;4.143798561;4.464305836;3.700406363;;2.245384969;2.648063856;1.914775393;;6.38918353;6.869868838;5.785775046
0.519272727;5.192727273;;4.088123745;4.404053853;3.650197019;;2.231700939;2.63053655;1.901649366;;6.319824683;6.791931074;5.722187565
0.548121212;5.481212121;;4.031855002;4.343837642;3.599934717;;2.214625146;2.609853894;1.885895443;;6.246480148;6.710647454;5.655423701
0.576969697;5.76969697;;3.976545999;4.283878404;3.550085356;;2.194771396;2.586015436;1.868065266;;6.171317395;6.62898372;5.586346161
0.605818182;6.058181818;;3.920405482;4.224542808;3.500542449;;2.172860549;2.559919609;1.848546534;;6.093266031;6.543054127;5.515452671
0.634666667;6.346666667;;3.863912766;4.163520407;3.450666578;;2.14931177;2.53191025;1.827721856;;6.013224536;6.455305716;5.443147366
0.663515152;6.635151515;;3.807743638;4.104807487;3.400247854;;2.124427532;2.502432776;1.805906317;;5.93217117;6.366376664;5.370648735
0.692363636;6.923636364;;3.754190371;4.043232883;3.350111759;;2.098298188;2.471731832;1.783352951;;5.852488558;6.277512135;5.296022882
0.721212121;7.212121212;;3.69766219;3.981937161;3.300747461;;2.071610211;2.439893156;1.760176103;;5.769272401;6.188167038;5.221044775
0.750060606;7.500606061;;3.640640195;3.921707336;3.25123529;;2.044327145;2.407588114;1.736526283;;5.684967339;6.098780512;5.144863294
0.778909091;7.789090909;;3.583864895;3.861380105;3.202406143;;2.016525697;2.374756488;1.712562194;;5.600390593;6.007684681;5.068111493
0.807757576;8.077575758;;3.529832281;3.803693865;3.153781565;;1.988262587;2.34143024;1.68830229;;5.518094869;5.922083774;4.994683976
0.836606061;8.366060606;;3.496228724;3.766588804;3.119061671;;1.961102346;2.309392983;1.665007575;;5.45733107;5.854486297;4.938309402
0.865454545;8.654545455;;3.470001725;3.738293786;3.097464468;;1.936498914;2.280403081;1.644156944;;5.406500639;5.799287854;4.892512016
0.89430303;8.943030303;;3.444916985;3.711337901;3.075171362;;1.914281113;2.254272586;1.62536308;;5.359198098;5.747899941;4.849593606
0.923151515;9.231515152;;3.419904511;3.68431733;3.052649071;;1.894002705;2.230427621;1.60827261;;5.313907216;5.698884876;4.808772234
0.952;9.52;;3.394723297;3.657579284;3.031250753;;1.875271054;2.208371127;1.59248952;;5.269994352;5.651874719;4.769328426
0.980848485;9.808484848;;3.370212028;3.630901388;3.008800939;;1.857680533;2.187723928;1.577652803;;5.227892561;5.605768706;4.729701748
1.00969697;10.0969697;;3.34538154;3.604392794;2.986230445;;1.841062175;2.16819592;1.56369286;;5.186443715;5.561010671;4.692454484
1.038545455;10.38545455;;3.320775211;3.577899397;2.964085411;;1.825165075;2.149697436;1.550362976;;5.145940286;5.517948925;4.656021836
1.067393939;10.67393939;;3.296257457;3.550601182;2.942406635;;1.809841647;2.13171088;1.537495117;;5.106099104;5.474716334;4.62026741
1.096242424;10.96242424;;3.271527312;3.523503838;2.92004462;;1.794991467;2.114193412;1.524928401;;5.066518779;5.432735503;4.584436669
1.125090909;11.25090909;;3.246383374;3.496689921;2.898591805;;1.780532835;2.097165446;1.512727905;;5.026916209;5.391071959;4.547637112
1.153939394;11.53939394;;3.221013514;3.468834316;2.875938284;;1.766372476;2.08035257;1.500694373;;4.98738599;5.349121702;4.512764319
1.182787879;11.82787879;;3.196143898;3.444429265;2.853375627;;1.752394101;2.063834642;1.488880631;;4.948538;5.306666249;4.478415417
1.211636364;12.11636364;;3.171641765;3.417519929;2.830740921;;1.738560944;2.0477019;1.477251713;;4.91020271;5.265444468;4.443494129
1.240484848;12.40484848;;3.147329863;3.391120595;2.808180355;;1.724849385;2.031751685;1.465739307;;4.872179248;5.225886814;4.408605937
1.269333333;12.69333333;;3.122573625;3.365521136;2.786039658;;1.711280721;2.015686435;1.454238354;;4.833854346;5.182448468;4.373833879
1.298181818;12.98181818;;3.095664901;3.338921755;2.764205688;;1.697968392;1.999615017;1.442744244;;4.793633293;5.141552124;4.339164905
1.327030303;13.27030303;;3.069640569;3.30895069;2.742447493;;1.684651704;1.983861441;1.43131629;;4.754292273;5.100867723;4.304530218
1.355878788;13.55878788;;3.047556053;3.282567054;2.720380233;;1.671072335;1.968273439;1.419987691;;4.718628388;5.060990375;4.270063613
1.384727273;13.84727273;;3.021812983;3.256305655;2.698281869;;1.657826147;1.952613335;1.408731432;;4.67963913;5.018640614;4.235603692
1.413575758;14.13575758;;1.23545207;1.574759554;0.843262055;;1.584573913;1.868016783;1.344038413;;2.820025983;3.283794041;2.421571835
1.442424242;14.42424242;;0.195377637;0.413700391;0.063446242;;1.306545855;1.539711515;1.072233597;;1.501923492;1.820832987;1.223062445
1.471272727;14.71272727;;0.030901959;0.108753998;0.004774523;;1.036039171;1.25679171;0.779589403;;1.06694113;1.286895435;0.820221804
1.500121212;15.00121212;;0.004890299;0.028834766;0.000359308;;0.815322427;1.045232388;0.546544565;;0.820212725;1.049538667;0.553725319
1.528969697;15.28969697;;0.000773787;0.007645841;2.70E-05;;0.64065346;0.880070831;0.381703648;;0.641427247;0.88073151;0.382972993
1.557818182;15.57818182;;0.000122409;0.002028004;1.98E-06;;0.503250573;0.740890171;0.266322892;;0.503372983;0.740991489;0.266547217
