time (d/10);time (d);;parent;;;;btp;;;;sum;;
0;0;;0;0;0;;0;0;0;;0;0;0
0.028848485;0.288484848;;0.182485078;0.204272247;0.164989398;;0.01221484;0.022084429;0.005915681;;0.194699919;0.218306539;0.176825831
0.05769697;0.576969697;;0.181583363;0.203267964;0.164145167;;0.019209369;0.02837928;0.010280313;;0.200792731;0.224178386;0.181388216
0.086545455;0.865454545;;0.180747311;0.202174162;0.16334348;;0.022643803;0.032028918;0.013348143;;0.203391115;0.225900531;0.183287505
0.115393939;1.153939394;;0.179783455;0.201202564;0.162479997;;0.024298412;0.03403662;0.015495715;;0.204081867;0.226005713;0.184079558
0.144242424;1.442424242;;0.178850419;0.20022561;0.161684703;;0.025060354;0.035136383;0.016828586;;0.203910773;0.225377275;0.184054743
0.173090909;1.730909091;;0.17790759;0.199085129;0.160851658;;0.025376466;0.035609322;0.017006954;;0.203284056;0.224625736;0.183524984
0.201939394;2.019393939;;0.177057645;0.198165361;0.160062513;;0.025468452;0.035761242;0.017049994;;0.202526096;0.223946739;0.182830801
0.230787879;2.307878788;;0.176619153;0.197692018;0.159667054;;0.025469211;0.035779223;0.017041495;;0.202088365;0.223568285;0.182554325
0.259636364;2.596363636;;0.176257886;0.197257938;0.159335162;;0.025440932;0.035749435;0.017017886;;0.201698818;0.223161785;0.182145784
0.288484848;2.884848485;;0.175919996;0.196857122;0.159061642;;0.025398265;0.035696166;0.016987496;;0.201318261;0.2227509;0.181761612
0.317333333;3.173333333;;0.175435776;0.196367453;0.158659994;;0.025350026;0.035629854;0.016953295;;0.200785802;0.22223051;0.181417655
0.346181818;3.461818182;;0.17511778;0.195957062;0.158275274;;0.02529653;0.035557588;0.01691713;;0.20041431;0.221777396;0.181046951
0.375030303;3.75030303;;0.174610363;0.195550003;0.157917199;;0.025243213;0.035481584;0.016880539;;0.199853576;0.221321055;0.180742072
0.403878788;4.038787879;;0.174168252;0.195080801;0.157445055;;0.025186417;0.035403066;0.01684262;;0.199354669;0.2207977;0.180074209
0.432727273;4.327272727;;0.172057689;0.192434836;0.15540516;;0.025052003;0.035207565;0.016746658;;0.197109692;0.218022402;0.177907325
0.461575758;4.615757576;;0.16979848;0.189965794;0.153398125;;0.024826378;0.034888339;0.016591064;;0.194624858;0.215337048;0.175791502
0.490424242;4.904242424;;0.167586929;0.187483936;0.15146705;;0.024553844;0.034506157;0.016406067;;0.192140773;0.212590668;0.173392256
0.519272727;5.192727273;;0.165491259;0.1850064;0.149477488;;0.024256874;0.034092005;0.016206712;;0.189748133;0.209821632;0.171233822
0.548121212;5.481212121;;0.163152263;0.182518318;0.147422708;;0.02395079;0.033661066;0.016000173;;0.187103053;0.20702702;0.168937021
0.576969697;5.76969697;;0.160931209;0.180054643;0.145389701;;0.023637672;0.033220699;0.015790153;;0.184568881;0.204248309;0.16664956
0.605818182;6.058181818;;0.158705691;0.177570955;0.143400288;;0.023321688;0.032777093;0.015578406;;0.182027379;0.201444951;0.16437234
0.634666667;6.346666667;;0.156555829;0.17509299;0.141389887;;0.023003466;0.032331163;0.015365866;;0.179559295;0.198644668;0.162092482
0.663515152;6.635151515;;0.154282887;0.172655028;0.139430607;;0.022685785;0.031883922;0.015152884;;0.176968672;0.195882775;0.159777105
0.692363636;6.923636364;;0.152072221;0.170061184;0.137364831;;0.022367096;0.031435935;0.014939757;;0.174439317;0.192964737;0.15743944
0.721212121;7.212121212;;0.149878848;0.167649913;0.135346857;;0.022048046;0.030987598;0.014726484;;0.171926894;0.19022816;0.155229964
0.750060606;7.500606061;;0.147656608;0.165190174;0.133387119;;0.021729202;0.030539373;0.014513119;;0.16938581;0.187443033;0.152916702
0.778909091;7.789090909;;0.145459912;0.162685234;0.131352014;;0.021410049;0.030091173;0.014299896;;0.166869961;0.184612723;0.150665974
0.807757576;8.077575758;;0.143540902;0.160687735;0.129790698;;0.021095227;0.029649632;0.014089949;;0.16463613;0.182293861;0.148766051
0.836606061;8.366060606;;0.14322743;0.160412323;0.129521233;;0.020877489;0.029350196;0.013950588;;0.164104918;0.181788796;0.148340802
0.865454545;8.654545455;;0.143002218;0.160130661;0.129298932;;0.020749122;0.029171612;0.013869052;;0.163751339;0.181361899;0.148013354
0.89430303;8.943030303;;0.142756692;0.159907335;0.129074732;;0.020666152;0.029054093;0.013816705;;0.163422844;0.181040292;0.147682225
0.923151515;9.231515152;;0.142492456;0.159501556;0.128827963;;0.020605996;0.02896822;0.013778033;;0.163098451;0.180563235;0.147384144
0.952;9.52;;0.142240997;0.159202148;0.128574947;;0.020557028;0.028898548;0.013746215;;0.162798024;0.180206895;0.147093203
0.980848485;9.808484848;;0.141988878;0.158948;0.128389069;;0.020513732;0.028837302;0.01371762;;0.16250261;0.179903881;0.146819714
1.00969697;10.0969697;;0.141726679;0.158661482;0.128131804;;0.020473377;0.028779915;0.013691101;;0.162200056;0.179573211;0.146556698
1.038545455;10.38545455;;0.141547621;0.158445579;0.127894433;;0.020433583;0.028724535;0.013665223;;0.161981205;0.179315473;0.146309076
1.067393939;10.67393939;;0.141206915;0.158100622;0.127638398;;0.020396167;0.028671079;0.013639658;;0.161603082;0.178930576;0.146023213
1.096242424;10.96242424;;0.141009546;0.157788794;0.127409931;;0.020357628;0.028617217;0.013614494;;0.161367174;0.178579494;0.145747304
1.125090909;11.25090909;;0.140693876;0.157532006;0.127247601;;0.020320487;0.02856451;0.013589238;;0.161014364;0.178283702;0.145464901
1.153939394;11.53939394;;0.140426709;0.157160756;0.12699845;;0.020282935;0.028511508;0.013564096;;0.160709645;0.177874108;0.145210447
1.182787879;11.82787879;;0.140138013;0.156903815;0.126722484;;0.02024565;0.02845869;0.013538972;;0.160383663;0.177578556;0.144916803
1.211636364;12.11636364;;0.139892924;0.156577598;0.126493279;;0.020207937;0.028405854;0.013513934;;0.160100862;0.177214051;0.144633124
1.240484848;12.40484848;;0.139662601;0.156348611;0.126272002;;0.020170083;0.0283532;0.013488653;;0.159832684;0.176946474;0.144393467
1.269333333;12.69333333;;0.139339712;0.156059797;0.12600646;;0.02013319;0.028300481;0.013463579;;0.159472902;0.176619309;0.144106741
1.298181818;12.98181818;;0.139090288;0.155725347;0.125762785;;0.020095541;0.028247102;0.013438661;;0.159185829;0.176246682;0.143825424
1.327030303;13.27030303;;0.138857223;0.155452523;0.12547186;;0.020057725;0.028194634;0.013413423;;0.158914949;0.17593547;0.143578015
1.355878788;13.55878788;;0.13863175;0.155167456;0.125306251;;0.020019832;0.028141966;0.013388295;;0.158651582;0.175612064;0.143386168
1.384727273;13.84727273;;0.138381029;0.154773684;0.125044624;;0.019982199;0.028089275;0.013363148;;0.158363228;0.175180343;0.1430164
1.413575758;14.13575758;;0.001097976;0.018299619;6.93E-09;;0.015470593;0.022312359;0.008651331;;0.016568569;0.034667347;0.008651533
1.442424242;14.42424242;;6.28E-08;0.000252265;-1.01E-06;;0.007748682;0.013893514;0.002043124;;0.007748745;0.013893042;0.002042909
1.471272727;14.71272727;;3.59E-08;3.27E-06;-1.04E-06;;0.003878205;0.01013519;0.000422577;;0.003878241;0.010135796;0.000423355
1.500121212;15.00121212;;4.31E-08;9.65E-07;-9.72E-07;;0.001941036;0.007393527;8.74E-05;;0.001941079;0.007393514;8.74E-05
1.528969697;15.28969697;;1.73E-07;9.89E-07;-1.07E-06;;0.000971484;0.005393511;1.81E-05;;0.000971657;0.005393352;1.82E-05
1.557818182;15.57818182;;2.42E-09;1.12E-06;-8.09E-07;;0.000486228;0.003934515;3.74E-06;;0.00048623;0.003934613;3.87E-06
1.586666667;15.86666667;;2.59E-07;1.02E-06;-9.68E-07;;0.000243354;0.002870193;7.73E-07;;0.000243613;0.00287032;7.79E-07
1.615515152;16.15515152;;-6.33E-09;1.62E-06;-1.10E-06;;0.0001218;0.002093779;1.60E-07;;0.000121794;0.002093919;1.02E-07
1.644363636;16.44363636;;-5.18E-08;1.09E-06;-1.55E-06;;6.10E-05;0.001527394;3.46E-08;;6.09E-05;0.001526693;-1.80E-07
1.673212121;16.73212121;;1.02E-07;1.32E-06;-9.48E-07;;3.05E-05;0.001114219;6.98E-09;;3.06E-05;0.001114235;-3.90E-07
1.702060606;17.02060606;;1.31E-07;1.09E-06;-1.17E-06;;1.53E-05;0.000812812;1.04E-09;;1.54E-05;0.000813222;-7.27E-07
1.730909091;17.30909091;;-7.65E-08;1.06E-06;-1.00E-06;;7.64E-06;0.00059294;-3.37E-09;;7.57E-06;0.000592476;-9.61E-07
1.759757576;17.59757576;;-6.85E-08;1.06E-06;-8.77E-07;;3.83E-06;0.000432544;-3.89E-09;;3.76E-06;0.000432253;-8.48E-07
1.788606061;17.88606061;;9.16E-08;9.01E-07;-1.06E-06;;1.91E-06;0.000315536;-6.14E-09;;2.01E-06;0.000315451;-1.04E-06
1.817454545;18.17454545;;6.19E-08;1.25E-06;-1.08E-06;;9.58E-07;0.00023018;-9.90E-09;;1.02E-06;0.000230334;-1.07E-06
1.84630303;18.4630303;;6.14E-08;1.54E-06;-1.31E-06;;4.79E-07;0.000167914;-7.32E-09;;5.40E-07;0.000168076;-1.29E-06
1.875151515;18.75151515;;4.34E-08;1.25E-06;-1.53E-06;;2.40E-07;0.000122492;-6.34E-09;;2.83E-07;0.000122493;-1.24E-06
1.904;19.04;;5.05E-07;9.43E-07;-1.40E-06;;1.15E-07;8.94E-05;-9.89E-09;;6.20E-07;8.93E-05;-1.38E-06
1.932848485;19.32848485;;7.90E-08;2.08E-06;-1.77E-06;;5.93E-08;6.52E-05;-9.19E-09;;1.38E-07;6.54E-05;-1.74E-06
1.96169697;19.6169697;;6.38E-08;9.50E-07;-1.05E-06;;2.94E-08;4.76E-05;-6.70E-09;;9.33E-08;4.77E-05;-1.01E-06
1.990545455;19.90545455;;4.44E-08;8.22E-07;-8.65E-07;;1.46E-08;3.47E-05;-1.51E-08;;5.90E-08;3.45E-05;-8.44E-07
2.019393939;20.19393939;;8.28E-08;1.02E-06;-8.83E-07;;6.69E-09;2.53E-05;-2.66E-08;;8.95E-08;2.57E-05;-8.67E-07
2.048242424;20.48242424;;-2.09E-07;1.11E-06;-9.59E-07;;5.93E-09;1.85E-05;-1.41E-08;;-2.03E-07;1.85E-05;-9.53E-07
2.077090909;20.77090909;;-1.08E-07;1.27E-06;-7.95E-07;;3.01E-09;1.35E-05;-2.10E-08;;-1.05E-07;1.35E-05;-7.91E-07
2.105939394;21.05939394;;-9.48E-07;1.12E-06;-1.07E-06;;1.07E-08;9.82E-06;-2.01E-08;;-9.38E-07;9.98E-06;-1.06E-06
2.134787879;21.34787879;;2.17E-07;1.02E-06;-1.52E-06;;-1.76E-09;7.17E-06;-1.84E-08;;2.15E-07;6.82E-06;-1.51E-06
2.163636364;21.63636364;;-3.54E-08;9.82E-07;-7.93E-07;;6.02E-10;5.23E-06;-9.11E-09;;-3.48E-08;5.61E-06;-7.87E-07
2.192484848;21.92484848;;2.45E-07;1.10E-06;-1.19E-06;;-2.41E-09;3.81E-06;-2.38E-08;;2.43E-07;3.81E-06;-1.19E-06
2.221333333;22.21333333;;-1.16E-07;1.20E-06;-1.46E-06;;1.26E-09;2.78E-06;-2.13E-08;;-1.15E-07;2.95E-06;-1.46E-06
2.250181818;22.50181818;;7.08E-08;1.21E-06;-1.05E-06;;-7.01E-10;2.03E-06;-1.36E-08;;7.01E-08;2.03E-06;-1.04E-06
2.279030303;22.79030303;;-7.12E-08;8.49E-07;-1.27E-06;;7.50E-10;1.48E-06;-1.34E-08;;-7.05E-08;1.47E-06;-1.26E-06
2.307878788;23.07878788;;1.91E-08;1.23E-06;-9.97E-07;;-1.90E-10;1.08E-06;-1.84E-08;;1.90E-08;1.52E-06;-9.92E-07
2.336727273;23.36727273;;-1.55E-07;1.46E-06;-1.12E-06;;1.61E-09;7.88E-07;-1.62E-08;;-1.54E-07;1.50E-06;-1.11E-06
2.365575758;23.65575758;;1.22E-08;9.88E-07;-1.05E-06;;-1.24E-10;5.75E-07;-1.42E-08;;1.21E-08;9.83E-07;-1.05E-06
2.394424242;23.94424242;;4.43E-07;9.90E-07;-1.31E-06;;-4.57E-09;4.20E-07;-1.57E-08;;4.39E-07;9.86E-07;-1.31E-06
2.423272727;24.23272727;;-3.98E-09;9.59E-07;-1.17E-06;;4.16E-11;3.06E-07;-1.48E-08;;-3.94E-09;9.53E-07;-1.16E-06
2.452121212;24.52121212;;2.33E-08;1.21E-06;-8.65E-07;;-2.40E-10;2.23E-07;-1.89E-08;;2.30E-08;1.21E-06;-8.61E-07
2.480969697;24.80969697;;4.99E-08;8.41E-07;-8.50E-07;;-5.15E-10;1.63E-07;-1.88E-08;;4.94E-08;8.32E-07;-8.47E-07
2.509818182;25.09818182;;-8.70E-08;9.34E-07;-1.09E-06;;8.97E-10;1.19E-07;-1.79E-08;;-8.61E-08;9.29E-07;-1.09E-06
2.538666667;25.38666667;;1.00E-07;2.87E-06;-1.11E-06;;-1.04E-09;8.68E-08;-2.22E-08;;9.93E-08;2.85E-06;-1.11E-06
2.567515152;25.67515152;;-2.20E-07;1.21E-06;-1.03E-06;;2.27E-09;6.28E-08;-3.19E-08;;-2.18E-07;1.20E-06;-1.02E-06
2.596363636;25.96363636;;-2.90E-08;1.18E-06;-1.23E-06;;3.00E-10;4.60E-08;-1.18E-08;;-2.87E-08;1.17E-06;-1.22E-06
2.625212121;26.25212121;;-4.52E-07;9.18E-07;-1.00E-06;;4.66E-09;3.49E-08;-2.22E-08;;-4.48E-07;8.96E-07;-9.94E-07
2.654060606;26.54060606;;-4.34E-07;1.12E-06;-1.46E-06;;4.47E-09;2.46E-08;-2.52E-08;;-4.29E-07;1.12E-06;-1.45E-06
2.682909091;26.82909091;;-4.18E-07;9.40E-07;-9.21E-07;;4.31E-09;1.76E-08;-1.28E-08;;-4.13E-07;9.28E-07;-9.15E-07
2.711757576;27.11757576;;3.39E-07;1.06E-06;-2.42E-06;;-3.50E-09;2.55E-08;-1.92E-08;;3.36E-07;1.06E-06;-2.41E-06
2.740606061;27.40606061;;7.56E-07;1.01E-06;-1.17E-06;;-7.79E-09;1.99E-08;-1.33E-08;;7.48E-07;1.00E-06;-1.17E-06
2.769454545;27.69454545;;-6.60E-08;1.04E-06;-1.06E-06;;6.80E-10;1.74E-08;-2.86E-08;;-6.53E-08;1.01E-06;-1.05E-06
2.79830303;27.9830303;;-9.87E-08;9.69E-07;-1.55E-06;;1.02E-09;2.24E-08;-1.39E-08;;-9.77E-08;9.62E-07;-1.52E-06
2.827151515;28.27151515;;-5.59E-07;1.21E-06;-9.04E-07;;5.76E-09;1.75E-08;-1.51E-08;;-5.53E-07;1.20E-06;-8.99E-07
2.856;28.56;;1.54E-07;4.41E-07;-5.11E-07;;-1.59E-09;4.45E-09;-3.67E-09;;1.52E-07;4.39E-07;-5.10E-07
